[18:28:06:476176 +02:00] [Thread 23244]  Performed Query 1 - 375743 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[18:28:06:696652 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[18:28:06:696768 +02:00] [Thread 21452]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[18:31:01:774026 +02:00] [Thread 23244]  Performed Query 1 - 375743 - SELECT id FROM players WHERE playerid = '76561198216442289'
[18:31:01:994283 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - [3]
[18:31:01:994324 +02:00] [Thread 23244]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[18:31:01:994400 +02:00] [Thread 21452]  Performed Query 1 - 375743 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[18:31:02:196381 +02:00] [Thread 23244]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[18:31:02:196405 +02:00] [Thread 21452]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[18:38:20:434383 +02:00] [Thread 23244]  Performed Query 1 - 375743 - SELECT id FROM players WHERE playerid = '76561198216442289'
[18:38:20:664598 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - [3]
[18:38:20:664731 +02:00] [Thread 10172]  Performed Query 1 - 375743 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[18:38:20:683182 +02:00] [Thread 23244]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[18:38:20:865914 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[18:38:20:865975 +02:00] [Thread 21452]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[23:37:09:736025 +02:00] [Thread 6872]  Performed Query 1 - 21695 - SHOW PROCESSLIST
[23:37:09:780957 +02:00] [Thread 20224]  Finished Query - SHOW PROCESSLIST - with return - [3,"root","localhost:51578","koth","Sleep",844,"","",0]
[23:37:09:780963 +02:00] [Thread 6872]  SINGLE RETURN ARRIVED - [3,"root","localhost:51578","koth","Sleep",844,"","",0]
[23:39:16:287795 +02:00] [Thread 6872]  Performed Query 1 - 21695 - SELECT id FROM players WHERE playerid = '76561198216442289'
[23:39:16:488662 +02:00] [Thread 20224]  SINGLE RETURN ARRIVED - [3]
[23:39:16:488711 +02:00] [Thread 6872]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[23:39:16:488808 +02:00] [Thread 20224]  Performed Query 1 - 21695 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[23:39:16:694018 +02:00] [Thread 6872]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[23:39:16:718495 +02:00] [Thread 20224]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,902000,33,10,0,0,0]
[23:39:34:785576 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 804001, level = 34, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:34:988930 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 706002, level = 33, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:35:139387 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 608003, level = 31, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:089004 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 510004, level = 29, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:264962 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 412005, level = 27, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:442841 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 314006, level = 25, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:619655 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 216007, level = 22, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:773365 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 118008, level = 19, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:55:972139 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = 20009, level = 15, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:56:194731 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = -77990, level = 7, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:56:349286 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = -175989, level = 7, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:56:485525 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = -273988, level = 7, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[23:39:57:204754 +02:00] [Thread 6872]  Performed Query 1 - 21695 - UPDATE players SET name = 'Prof Bildungsstop', xp = -371987, level = 7, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
